Month,Proportional_Spread (%)
Jan-05,1.1219
Feb-05,1.1645
Mar-05,1.1180
Apr-05,1.1717
May-05,1.1602
Jun-05,1.2068
Jul-05,1.2398
Aug-05,1.1574
Sep-05,1.1506
Oct-05,1.1595
Nov-05,1.1766
Dec-05,1.1779
Jan-06,1.1422
Feb-06,1.1646
Mar-06,1.2027
Apr-06,1.1871
May-06,1.1717
Jun-06,1.1464
Jul-06,1.1241
Aug-06,1.0788
Sep-06,1.0564
Oct-06,1.0415
Nov-06,1.0236
Dec-06,1.0021
Jan-07,1.0315
Feb-07,1.0397
Mar-07,1.0130
Apr-07,0.9751
May-07,0.9828
Jun-07,0.9809
Jul-07,0.9739
Aug-07,0.9853
Sep-07,0.9753
Oct-07,0.9476
Nov-07,0.9547
Dec-07,0.9550
Jan-08,0.9344
Feb-08,0.9353
Mar-08,0.9497
Apr-08,0.9863
May-08,1.0044
Jun-08,0.9945
Jul-08,0.9425
Aug-08,0.9449
Sep-08,0.9142
Oct-08,0.8986
Nov-08,0.8801
Dec-08,0.8411
Jan-09,0.8673
Feb-09,0.8616
Mar-09,0.8552
Apr-09,0.8750
May-09,0.8874
Jun-09,0.9148
Jul-09,0.8894
Aug-09,0.8974
Sep-09,0.8565
Oct-09,0.8738
Nov-09,0.8846
Dec-09,0.8978
Jan-10,0.9045
Feb-10,0.9139
Mar-10,0.9488
Apr-10,1.0313
May-10,1.0372
Jun-10,1.0146
Jul-10,0.9872
Aug-10,1.0183
Sep-10,1.0167
Oct-10,1.0122
Nov-10,1.0458
Dec-10,1.0449
Jan-11,1.0792
Feb-11,1.0990
Mar-11,1.0874
Apr-11,1.0465
May-11,1.0170
Jun-11,0.9996
Jul-11,1.0151
Aug-11,0.9942
Sep-11,1.0287
Oct-11,1.0212
Nov-11,1.0082
Dec-11,0.9755
Jan-12,0.9706
Feb-12,0.9828
Mar-12,0.9842
Apr-12,1.0078
May-12,0.9761
Jun-12,1.0310
Jul-12,0.9710
Aug-12,0.9869
Sep-12,1.0174
Oct-12,0.9846
Nov-12,0.9544
Dec-12,0.9633
Jan-13,0.9839
Feb-13,0.9695
Mar-13,0.9956
Apr-13,1.0131
May-13,1.0509
Jun-13,1.0694
Jul-13,1.0485
Aug-13,1.0656
Sep-13,1.0738
Oct-13,1.0793
Nov-13,1.0549
Dec-13,1.0409
Jan-14,1.0534
Feb-14,1.0307
Mar-14,1.0446
Apr-14,1.0634
May-14,1.0394
Jun-14,1.0377
Jul-14,1.0407
Aug-14,1.0088
Sep-14,1.0298
Oct-14,1.0576
Nov-14,1.0611
Dec-14,1.0587
Jan-15,1.0142
Feb-15,0.9700
Mar-15,0.9192
Apr-15,0.9327
May-15,0.8934
Jun-15,0.8947
Jul-15,0.8839
Aug-15,0.9010
Sep-15,0.8877
Oct-15,0.8922
Nov-15,0.9265
Dec-15,0.8995
Jan-16,0.9414
Feb-16,0.9681
Mar-16,0.9239
Apr-16,0.9402
May-16,0.9645
Jun-16,0.9661
Jul-16,0.9704
Aug-16,0.9909
Sep-16,0.9404
Oct-16,0.9508
Nov-16,0.9721
Dec-16,1.0202
Jan-17,1.0168
Feb-17,1.0444
Mar-17,1.0299
Apr-17,0.9846
May-17,0.9054
Jun-17,0.8965
Jul-17,0.8847
Aug-17,0.8466
Sep-17,0.7900
Oct-17,0.8147
Nov-17,0.8034
Dec-17,0.7335
Jan-18,0.7660
Feb-18,0.8217
Mar-18,0.8401
Apr-18,0.8415
May-18,0.8523
Jun-18,0.8289
Jul-18,0.8442
Aug-18,0.8626
Sep-18,0.8411
Oct-18,0.8084
Nov-18,0.8190
Dec-18,0.8757
Jan-19,0.8455
Feb-19,0.8768
Mar-19,0.8721
Apr-19,0.9358
May-19,0.9668
Jun-19,0.9722
Jul-19,0.9466
Aug-19,0.9660
Sep-19,0.9904
Oct-19,0.9705
Nov-19,0.9941
Dec-19,1.0707
Jan-20,1.0879
Feb-20,1.0474
Mar-20,1.5587
Apr-20,1.5833
May-20,1.5050
Jun-20,1.4791
Jul-20,1.4680
Aug-20,1.4360
Sep-20,1.4712
Oct-20,1.4413
Nov-20,1.4282
Dec-20,1.4163
Jan-21,1.4053
Feb-21,1.4517
Mar-21,1.4581
Apr-21,1.4846
May-21,1.4447
Jun-21,1.4823
Jul-21,1.5176
Aug-21,1.5013
Sep-21,1.4268
Oct-21,1.4243
Nov-21,1.3782
Dec-21,1.2879
Jan-22,1.2654
Feb-22,1.2334
Mar-22,1.2081
Apr-22,1.2169
May-22,1.2055
Jun-22,1.2045
Jul-22,1.1999
Aug-22,1.2792
Sep-22,1.2865
Oct-22,1.2504
Nov-22,1.2618
Dec-22,1.2691
Jan-23,1.3047
Feb-23,1.2668
Mar-23,1.2337
Apr-23,1.1976
May-23,1.1941
Jun-23,1.1598
Jul-23,1.0863
Aug-23,1.0369
Sep-23,1.0676
Oct-23,1.0465
Nov-23,1.0466
Dec-23,1.1265
Jan-24,1.1839
Feb-24,1.1930
Mar-24,1.1586
Apr-24,1.1558
May-24,1.1462
Jun-24,1.1305
Jul-24,1.0813
Aug-24,1.1064
Sep-24,1.1045
Oct-24,1.1293
Nov-24,1.1529
Dec-24,1.2081
Jan-25,1.2189
Feb-25,1.2537
Mar-25,1.5943
,
,
,
,
,
,
,
