Simulation,First_Trigger_Month_Idx,Cost_Payoff_PV,Benefit_Payoff_PV
0,37,15516034.800101366,14740233.060096297
1,39,14248199.395811796,13535789.426021205
2,42,11947971.83922833,11350573.247266913
3,34,17865157.790453203,16971899.900930542
4,39,14016693.549721936,13315858.872235838
5,35,17126218.530176487,16269907.603667662
6,33,18332673.62761024,17416039.946229726
7,38,14733556.06353138,13996878.26035481
8,34,17711563.20960937,16825985.0491289
9,30,20676659.318952374,19642826.353004754
10,39,14112694.682316206,13407059.948200395
11,29,21311367.6263863,20245799.245066985
12,30,20484953.27482451,19460705.611083284
13,37,15580251.101797666,14801238.546707781
14,38,14828638.330996485,14087206.414446661
15,35,16863632.05882979,16020450.455888301
16,38,14856073.63819218,14113269.956282571
17,34,17780664.00068495,16891630.8006507
18,40,13402161.716344647,12732053.630527413
19,42,12079496.71671722,11475521.88088136
20,39,14180215.017218057,13471204.266357154
21,37,15326779.072100542,14560440.118495515
22,41,12721354.392332561,12085286.672715932
23,36,16349623.423622953,15532142.252441805
24,37,15644635.102100872,14862403.346995829
25,41,12653126.208536347,12020469.89810953
26,36,16305387.823943423,15490118.43274625
27,38,14929333.67036631,14182866.986847995
28,40,13440537.982840456,12768511.083698433
29,28,22182863.248969458,21073720.086520985
30,36,16362737.43143469,15544600.559862955
31,41,12661104.245553503,12028049.033275828
32,35,16975797.349352576,16127007.481884947
33,31,20131694.830433242,19125110.088911578
34,35,17016885.36901444,16166041.100563716
35,34,17950748.261461135,17053210.848388076
36,30,20865835.141482458,19822543.384408336
37,40,13517457.606680257,12841584.726346243
38,39,14133463.625967406,13426790.444669034
39,39,14011077.338730864,13310523.47179432
40,36,16509530.57396782,15684054.04526943
41,33,18376242.339138422,17457430.222181503
42,35,17070385.595593646,16216866.315813962
43,31,19879402.760327972,18885432.622311577
44,37,15377791.63767105,14608902.055787496
45,41,12764871.230943773,12126627.669396583
46,31,20183957.902697496,19174760.00756262
47,33,18524959.83992008,17598711.847924076
48,37,15578939.11105023,14799992.155497715
49,33,18560028.738382794,17632027.301463652
50,39,14167098.967695069,13458744.019310316
51,35,17077030.513259403,16223178.987596434
52,34,17499982.30903289,16624983.193581244
53,43,11210160.091656474,10649652.08707365
54,41,12648067.095418239,12015663.740647327
55,35,17021368.45757992,16170300.03470092
56,36,16295356.986914026,15480589.137568325
57,38,14733821.817257006,13997130.726394156
58,39,14159805.865855586,13451815.572562806
59,39,14083106.975241482,13378951.626479408
60,38,14725621.940289449,13989340.843274973
61,31,20044559.528699342,19042331.552264374
62,32,19269427.117043547,18305955.76119137
63,40,13246688.205129102,12584353.794872647
64,35,16886909.60307734,16042564.122923471
65,37,15513692.134173336,14738007.52746467
66,40,13343202.129892455,12676042.023397831
67,41,12623108.381677968,11991952.96259407
68,32,19178316.57348276,18219400.744808618
69,34,17622202.598791953,16741092.468852356
70,33,18555644.386111468,17627862.166805893
71,39,14133449.422583506,13426776.95145433
72,32,19062545.72887263,18109418.442429
73,31,20028868.128333002,19027424.72191635
74,34,17781361.023868628,16892292.972675197
75,33,18203515.208027035,17293339.447625685
76,38,14796958.273440683,14057110.359768648
77,37,15409530.246109273,14639053.73380381
78,39,14152957.036608996,13445309.184778547
79,39,14104523.263856767,13399297.100663926
80,40,13449026.84084955,12776575.498807073
81,39,13867372.390927304,13174003.771380937
82,36,16333236.900640247,15516575.055608233
83,30,20479969.351890743,19455970.884296205
84,36,16285356.256551767,15471088.443724178
85,33,18387221.422659744,17467860.351526756
86,37,15634710.306304727,14852974.79098949
87,43,11232205.500337224,10670595.225320363
88,33,18628255.651744347,17696842.869157128
89,36,16263065.140399195,15449911.883379236
90,37,15648023.797866233,14865622.60797292
91,34,17831334.929017514,16939768.18256664
92,43,11302684.066318322,10737549.863002405
93,44,10573807.403068371,10045117.032914953
94,34,17471152.303076718,16597594.687922882
95,40,13444108.265149437,12771902.851891965
96,35,16897568.441492103,16052690.019417496
97,36,16317100.593310542,15501245.563645015
98,37,15679305.564338975,14895340.286122024
99,35,16838104.24195181,15996199.029854218
100,31,19971623.191553894,18973042.0319762
101,30,20459926.173273247,19436929.864609584
102,32,19331607.7963502,18365027.40653269
103,41,12686259.087038793,12051946.132686853
104,41,12775347.439506156,12136580.067530848
105,37,15765864.874614393,14977571.630883671
106,39,14152093.97819132,13444489.279281754
107,38,14763674.722280571,14025490.986166542
108,34,17684059.242572464,16799856.280443843
109,38,14836578.036750056,14094749.134912552
110,27,23133000.611591097,21976350.58101154
111,41,12616411.58947615,11985591.010002341
112,29,21604507.433537375,20524282.061860505
113,37,15625172.115006275,14843913.509255962
114,30,20782754.866628893,19743617.12329745
115,40,13463115.56622298,12789959.78791183
116,38,14847614.052413872,14105233.349793177
117,33,18678510.670058068,17744585.136555165
118,33,18455882.212667618,17533088.102034237
119,37,15599155.577212077,14819197.798351472
120,38,14804331.77600164,14064115.187201558
121,33,18519289.728816688,17593325.24237585
122,39,14137956.720157681,13431058.884149795
123,44,10550901.254952585,10023356.192204956
124,36,16298910.085190633,15483964.580931103
125,37,15564545.233307268,14786317.971641906
126,42,11919873.805728687,11323880.115442252
127,33,18473460.357031804,17549787.339180212
