Month,Avg_Remaining_Value,Expected_Liquidation_Cost,Stressed_Liquidation_Cost_AvgVal,Stressed_Liquidation_Cost_99Val
1,43490996.08868355,460807.68571824505,670386.7402894817,672170.803742798
2,42725165.00134532,452693.3429175465,658581.928893437,662551.7831010725
3,41958981.90152955,444575.27037805814,646771.6914432988,651904.897793444
4,41191520.18839702,436443.6503253737,634941.744961623,640910.4066518061
5,40426534.37591025,428338.2636117536,623149.9629533432,629876.2578015478
6,39659475.891774535,420210.9159611189,611326.2319966513,618629.8856200576
7,38891863.4407654,412077.698769295,599493.9619840651,607419.2083539948
8,38125901.50413085,403961.96955837734,587687.1336272442,595899.6355439118
9,37360282.903123066,395849.87815090927,575885.5975762418,584542.2240181697
10,36594326.042719156,387734.20272505766,564078.847466369,573073.2121657073
11,35826680.37453171,379600.6335815094,552246.0654315738,561667.6995018251
12,35057891.95867746,371454.95648562495,540395.6686499985,550002.1733144848
13,34289514.09951168,363313.62943215115,528551.6003452307,538375.770556849
14,33521066.6908351,355171.565468696,516706.45997787453,526795.067638112
15,32752052.242853418,347023.4934554514,504852.57905119465,515171.3804762391
16,31982706.32919265,338871.9094064704,492993.58878658037,503655.99627080996
17,31212368.303208258,330709.81345790246,481119.3057256071,491932.83878447616
18,30440947.501429632,322536.24498736986,469228.3323470867,480287.92872001196
19,29669976.690517653,314367.44438302796,457344.2952987813,468593.2206153589
20,28900735.820069678,306216.97331659833,445486.92421016545,456865.5010683819
21,28129111.97608028,298041.25351775263,433592.82106185216,445280.9044169269
22,27357528.36914295,289865.9600495158,421699.3381427495,433637.63056278904
23,26585400.79041315,281684.9029427026,409797.4702357284,422059.94587421004
24,25811999.365187492,273490.3488294166,397875.9667747586,410242.6176953738
25,25038815.727236405,265298.1022753727,385957.8203695981,398395.32610959845
26,24265875.164029058,257108.43121327413,374043.42081090604,386809.8413260698
27,23491001.989413105,248898.28321869104,362099.2312455694,375106.4019282033
28,22716648.664207198,240693.64327462664,350163.054836582,363492.08398389036
29,21941575.880442105,232481.38032664315,338215.78841996903,351828.81687933113
30,21165345.916307796,224256.85650501103,326250.6847854164,340075.02588396816
31,20388990.75347819,216031.00614395185,314283.651290599,328373.51042385015
32,19612453.320743218,207803.22454698585,302313.8082181977,316652.9909241605
33,18833753.138564117,199552.52759613594,290310.62770401983,304954.74800516164
34,18055110.467294876,191302.44000059308,278308.33368486067,293149.34647285077
35,17274756.793940388,183034.22352822352,266279.6656293787,281435.50761541695
36,16494750.58397814,174769.68859493217,254256.35350666085,269868.14320578595
37,15714050.407469418,166497.80075766053,242222.34431988833,258209.70978119547
38,14931728.320822522,158208.7280149043,230163.33439392017,246146.42425926164
39,14149374.322287835,149919.3171505946,218103.83256598708,234356.3106105657
40,13365857.071533596,141617.58107850843,206026.39992630595,222547.6731094608
41,12582199.656633347,133314.35990096247,193946.80674321586,210706.89008230317
42,11796362.166250547,124988.0397919559,181833.60904820904,198806.1130552308
43,11009471.85902608,116650.56459026522,169704.18283433435,186875.76505368477
44,10222301.740708668,108310.12465762389,157570.4435059448,175006.27946541941
45,9434018.94379848,99957.89536871584,145419.55292690836,163179.74240142346
46,8645297.088565886,91601.01404909707,133261.89453604817,151262.03206491214
47,7855786.775796919,83235.77864874208,121092.08256110846,139429.32740184292
48,7064943.486844612,74856.41973489228,108901.7235847478,127351.57810261083
49,6272687.588433167,66462.09355530402,96689.5901093924,115449.77875972695
50,5479958.491345604,58062.75361180052,84470.16256982781,103407.8992263673
51,4686173.912571355,49652.23034031879,72234.46543446161,91259.99111080678
52,3891288.7967159515,41230.04635763194,59981.804202322404,79006.60298429601
53,3095470.622135682,32797.976176184115,47714.760448435794,66950.22711784074
54,2299071.5517547233,24359.75112881846,35438.76254593696,54679.23564223432
55,1509090.9339120488,15989.532623635194,23261.701109875197,42545.897164098635
56,765219.954631102,8107.867560447318,11795.39116426656,30301.61031361266
57,213631.65850633467,2263.5285232767897,3292.9995642468734,18087.000357473953
58,14507.421561357989,153.71299709476713,223.62290876696525,5773.396265405413
59,54.962187468817014,0.5823503871438813,0.8472080432755832,0.0
60,0.0,0.0,0.0,0.0
